model,best_params,accuracy,f1_score
LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",0.8913043478260869,0.9038461538461539
RandomForest,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.8913043478260869,0.9038461538461539
